what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.php.ui,,"org.eclipse.php.perspective",1410618249506
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1410618249507
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1410618249508
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1410618249509
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1410618249510
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1410618249512
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1410618249513
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1410618249516
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1410618249517
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1410618249519
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1410618249520
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1410618249522
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1410618249523
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1410618249525
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1410618249526
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1410618249534
started,bundle,org.eclipse.dltk.core,2.0.0.v20100603-0936,"org.eclipse.dltk.core",1410618249534
started,bundle,org.eclipse.dltk.core.index.sql,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql",1410618249535
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1410618249535
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100524-0038,"org.eclipse.dltk.launching",1410618249536
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1410618249537
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1410618249537
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1410618249538
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1410618249541
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1410618249542
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1410618249543
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1410618249543
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1410618249551
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1410618249552
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1410618249553
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1410618249555
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1410618249559
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1410618249561
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1410618249564
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1410618249565
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1410618249566
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1410618249566
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1410618249568
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1410618249569
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1410618249569
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1410618249570
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1410618249572
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1410618249573
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1410618249575
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1410618249576
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1410618249578
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1410618249586
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1410618249589
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1410618249591
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1410618249592
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1410618249592
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1410618249592
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1410618249598
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1410618249599
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1410618249600
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1410618249601
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1410618249602
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1410618249603
started,bundle,org.eclipse.php.core,2.2.0.v20100616-1900,"org.eclipse.php.core",1410618249604
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1410618249604
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1410618249606
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1410618249606
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1410618249633
started,bundle,org.eclipse.rse.ui,3.1.100.v201005282245,"org.eclipse.rse.ui",1410618249634
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1410618249636
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1410618249640
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1410618249641
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1410618249649
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1410618249652
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1410618249653
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1410618249654
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1410618249655
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1410618249661
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1410618249662
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1410618249663
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1410618249663
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1410618249665
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1410618249666
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1410618249667
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1410618249668
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1410618249669
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1410618249669
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1410618249671
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1410618249673
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1410618249675
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1410618249677
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1410618249679
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1410618249997
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1410618249998
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1410618249998
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1410618249999
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1410618250000
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1410618250000
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1410618250003
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1410618250004
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1410618250006
os,sysinfo,,,"win32",1410618250009
arch,sysinfo,,,"x86",1410618250009
ws,sysinfo,,,"win32",1410618250009
locale,sysinfo,,,"zh_CN",1410618250009
processors,sysinfo,,,"2",1410618250009
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1410618250009
java.runtime.version,sysinfo,,,"1.5.0_09-b01",1410618250009
java.specification.name,sysinfo,,,"Java Platform API Specification",1410618250009
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1410618250009
java.specification.version,sysinfo,,,"1.5",1410618250009
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1410618250009
java.version,sysinfo,,,"1.5.0_09",1410618250009
java.vm.info,sysinfo,,,"mixed mode",1410618250009
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1410618250009
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1410618250009
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1410618250009
java.vm.specification.version,sysinfo,,,"1.0",1410618250009
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1410618250009
java.vm.version,sysinfo,,,"1.5.0_09-b01",1410618250009
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1410618250183
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1410618250188
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1410618255462
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618255490
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618256891
executed,command,org.eclipse.debug.ui,,"org.eclipse.debug.ui.commands.RunLast",1410618256898
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1410618258874
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1410618258978
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1410618258999
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1410618259617
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1410618259749
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1410618259790
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1410618259813
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1410618259865
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410618259937
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410618260114
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618267779
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618272478
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618272632
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618280153
executed,command,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.deubg.ui.phpexeShortcut.debug",1410618280164
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1410618281452
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1410618281467
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1410618281646
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1410618281663
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1410618281682
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1410618282096
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1410618282110
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1410618282143
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1410618282149
opened,view,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.debug.ui.PHPDebugOutput",1410618282292
activated,view,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.debug.ui.PHPDebugOutput",1410618282353
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1410618282390
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1410618282784
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1410618282819
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410618287453
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1410618287453
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1410618288236
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1410618291317
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1410618291363
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1410618291880
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1410618291961
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618294193
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618331388
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618336683
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618374805
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1410618375033
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1410618375084
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618377922
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618386336
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618392084
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618403100
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618405314
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618447695
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1410618448827
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618449857
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618966948
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410618997713
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619218422
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619232313
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619233125
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619234002
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619243623
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619252028
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619264734
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619268755
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619296303
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1410619296309
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619298921
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619388036
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1410619389024
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619395970
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619396558
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619397674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619555372
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619560130
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619584563
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619585162
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619634435
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619639294
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619641667
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619775858
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619775985
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619776785
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619781248
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619890699
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410619894018
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619897132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619967229
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619967313
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619967703
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1410619969580
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1410619972225
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1410619972765
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619986968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410619989311
